Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,VehiclePrice,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange_Claim,Deductible,DriverRating,Age,AgeOfVehicle,Fault,AccidentArea,BasePolicy,VehicleCategory,FraudFound_P
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,35,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,32,7 years,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,3,43,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,3,52,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,less than 20000,No,No,none,no change,400,3,75,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,26,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,2,29,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,1,48,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,26,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,22,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,no change,400,2,40,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,3,31,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,more than 69000,No,No,none,no change,400,1,35,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,4 to 8 years,700,1,46,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,3 to 5,no change,400,4,29,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,40000 to 59000,No,No,3 to 5,2 to 3 years,500,2,56,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,1 year,500,1,41,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,29,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,34,7 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,1 to 2,no change,400,2,35,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,1,28,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,4,26,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,3,41,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,3,56,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,69,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,35,5 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,40000 to 59000,No,No,more than 5,no change,400,2,37,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,34,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,500,1,41,7 years,Third Party,Urban,Collision,Sedan,1
